Conventions,G,BADC-CSV,1,,,,,,,,,,,,,,,,,,
long_name,glbl_horz_ilmn,Global horizontal illumination,KJ/m2,,,,,,,,,,,,,,,,,,
type,glbl_horz_ilmn,int,,,,,,,,,,,,,,,,,,,
long_name,glbl_horz_ilmn_q,QC code: Global horizontal illumination,1,,,,,,,,,,,,,,,,,,
type,glbl_horz_ilmn_q,int,,,,,,,,,,,,,,,,,,,
long_name,meto_stmp_time,Met Office receipt stamp time,s,,,,,,,,,,,,,,,,,,
type,meto_stmp_time,char,,,,,,,,,,,,,,,,,,,
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS),,,,,,,,,,,,,,,,,,,
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes,,,,,,,,,,,,,,,,,,
type,midas_stmp_etime,int,,,,,,,,,,,,,,,,,,,
data,,,,,,,,,,,,,,,,,,,,,
ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,glbl_irad_amt,glbl_irad_amt_q,difu_irad_amt,difu_irad_amt_q,direct_irad,direct_irad_q,irad_bal_amt,irad_bal_amt_q,glbl_s_lat_irad_amt,glbl_s_lat_irad_amt_q,glbl_horz_ilmn,glbl_horz_ilmn_q,meto_stmp_time,midas_stmp_etime
01/01/1980 00:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 01:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 02:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 03:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 04:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 05:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 06:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 07:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 08:00,DCNN,1280,1,1,MODLERAD,163,2001,14,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 09:00,DCNN,1280,1,1,MODLERAD,163,2001,184,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 10:00,DCNN,1280,1,1,MODLERAD,163,2001,446,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 11:00,DCNN,1280,1,1,MODLERAD,163,2001,601,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 12:00,DCNN,1280,1,1,MODLERAD,163,2001,472,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 13:00,DCNN,1280,1,1,MODLERAD,163,2001,274,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 14:00,DCNN,1280,1,1,MODLERAD,163,2001,180,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
